idboleta,fac00,area,region,r004,pobreza,ingpe,r3213a,r32309a,r32309b,INTERNET_SI_NO,COMPUTADORA_SI_NO,es_outlier_ingreso,INGPE_LIMPIO,BRECHA_DIGITAL,LOG_INGPE,INGPE_ESCALADO,PC_ESCALADO
361679.0,259.51954874338384,Rural,Occidental,Ahuachapán,Pobreza relativa,73.7475,Sí,Sí,2.0,1.0,1.0,False,73.7475,0.0,4.314115766895452,-0.5621561767442957,2.0
361680.0,246.3183048948947,Rural,Occidental,Ahuachapán,No pobre,561.4433333333333,Sí,Sí,1.0,1.0,1.0,False,561.4433333333333,0.0,6.332290388263145,1.7358298681053743,1.0
361681.0,259.51954874338384,Rural,Occidental,Ahuachapán,No pobre,237.915,No,No,0.0,0.0,0.0,False,237.915,1.0,5.476107840138006,0.21138872200822226,0.0
361682.0,272.72079259187296,Rural,Occidental,Ahuachapán,No pobre,211.61,No,No,0.0,0.0,0.0,False,211.61,1.0,5.359459501490274,0.08744154268414794,0.0
361683.0,272.72079259187296,Rural,Occidental,Ahuachapán,Pobreza relativa,67.5,No,Sí,1.0,0.0,1.0,False,67.5,1.0,4.22683374526818,-0.5915939263290574,1.0
356419.0,154.5286318835394,Rural,Occidental,Ahuachapán,Pobreza extrema,30.0,No,No,0.0,0.0,0.0,False,30.0,1.0,3.4339872044851463,-0.7682911027081789,0.0
356420.0,136.99192418812947,Rural,Occidental,Ahuachapán,No pobre,90.82142857142857,No,Sí,2.0,0.0,1.0,False,90.82142857142857,1.0,4.519845697090686,-0.4817051109237561,2.0
356421.0,140.88897034266498,Rural,Occidental,Ahuachapán,No pobre,376.89000000000004,No,Sí,2.0,0.0,1.0,False,376.89000000000004,1.0,5.9346031479783266,0.8662284576692467,2.0
356422.0,140.88897034266498,Rural,Occidental,Ahuachapán,No pobre,192.78,No,No,0.0,0.0,0.0,False,192.78,1.0,5.266723494956858,-0.0012839994816883204,0.0
356424.0,134.0691395722278,Rural,Occidental,Ahuachapán,No pobre,299.73,Sí,No,0.0,1.0,0.0,False,299.73,1.0,5.70621285222791,0.5026563475515663,0.0
356425.0,113.6096472609162,Rural,Occidental,Ahuachapán,No pobre,180.6933333333333,Sí,Sí,1.0,1.0,1.0,False,180.6933333333333,0.0,5.20232028421351,-0.058235462730639106,1.0
356426.0,134.0691395722278,Rural,Occidental,Ahuachapán,No pobre,267.33,No,No,0.0,0.0,0.0,False,267.33,1.0,5.592217566313047,0.3499899871600051,0.0
356427.0,127.24930880179063,Rural,Occidental,Ahuachapán,No pobre,802.7766666666666,Sí,Sí,1.0,1.0,1.0,True,642.4237499999999,0.0,6.466803527396884,2.1174034938921675,1.0
356428.0,127.24930880179063,Rural,Occidental,Ahuachapán,No pobre,320.4166666666667,Sí,Sí,1.0,1.0,1.0,False,320.4166666666667,0.0,5.7727383084202275,0.6001303632501287,1.0
356429.0,134.0691395722278,Rural,Occidental,Ahuachapán,No pobre,243.54,Sí,Sí,1.0,1.0,1.0,False,243.54,0.0,5.499378894716044,0.2378932984650905,1.0
356430.0,113.6096472609162,Rural,Occidental,Ahuachapán,No pobre,282.085,Sí,No,0.0,1.0,0.0,False,282.085,1.0,5.645747205903088,0.4195144361593101,0.0
